,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
64,D1-4,D1,4,TRUE,JCM14889-1s-65,1.415673087,220,203,236,11.59607884,2,64,5.12319366
65,D1-4,D1,4,TRUE,JCM14889-1s-66,1.6443781,220,203,233,13.58412696,2,65,5.693174401
66,D1-4,D1,4,TRUE,JCM14889-1s-67,1.861927213,222,207,234,16.68632723,2,66,6.529909627
67,D1-4,D1,4,TRUE,JCM14889-1s-68,1.154981426,220,207,233,11.0183373,2,67,4.951582758
68,D1-4,D1,4,TRUE,JCM14889-1s-69,1.646851495,219,203,232,14.36221619,2,68,5.908550792
69,D1-4,D1,4,TRUE,JCM14889-1s-70,1.387432886,221,207,232,11.43623081,2,69,5.076003833
70,D1-4,D1,4,TRUE,JCM14889-1s-71,1.476273235,220,204,232,13.19162398,2,70,5.582972762
71,D1-4,D1,4,TRUE,JCM14889-1s-72,0.304827325,221,211,228,2.446667448,2,71,1.815724537
72,D1-4,D1,4,TRUE,JCM14889-1s-74,1.508182651,220,202,234,13.68922676,2,72,5.722501892
73,D1-4,D1,4,TRUE,JCM14889-1s-75,1.632395185,221,203,234,14.50087459,2,73,5.94651882
